geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,01089010622,8,-86.67335314022606,34.76072020489391,06/01/20 - 06/07/20
AE,04013105002,4,-111.94846829109159,33.522370938623865,06/01/20 - 06/07/20
CA,04013105002,4,-111.94846829109159,33.522370938623865,06/01/20 - 06/07/20
AE,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
AU,06037980028,17,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
BO,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
BR,06037980028,10,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
CA,06037980028,16,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
CN,06037980028,8,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
CU,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
HN,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
ID,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
IL,06037980028,8,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
MX,06037980028,65,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
MY,06037980028,13,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
NZ,06037980028,22,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
SG,06037980028,20,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
TH,06037980028,5,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
VN,06037980028,4,-118.41352284444329,33.93985468418389,06/01/20 - 06/07/20
AE,06075010600,4,-122.40638793956578,37.79937839291561,06/01/20 - 06/07/20
IN,06075010600,4,-122.40638793956578,37.79937839291561,06/01/20 - 06/07/20
MX,06075010600,4,-122.40638793956578,37.79937839291561,06/01/20 - 06/07/20
AE,12019030703,4,-81.72788018458661,30.12028060030887,06/01/20 - 06/07/20
JP,12019030703,4,-81.72788018458661,30.12028060030887,06/01/20 - 06/07/20
AE,16001010321,4,-116.36505657926246,43.607230378336034,06/01/20 - 06/07/20
AE,16039960200,4,-115.76251308467002,43.37040746690817,06/01/20 - 06/07/20
AE,16087970300,4,-117.06103392206954,44.426945727080735,06/01/20 - 06/07/20
AE,17031280800,9,-87.6889008740927,41.87859676902281,06/01/20 - 06/07/20
AE,17031650100,4,-87.71785492529011,41.78237660903901,06/01/20 - 06/07/20
