orig_country,dest_ct,visitor_flows,ct_lng,ct_lat,date_range
AE,01097002100,4,-88.1118639111839,30.644295540692198,01/13/20 - 01/19/20
PK,01097002100,4,-88.1118639111839,30.644295540692198,01/13/20 - 01/19/20
VN,01097002100,4,-88.1118639111839,30.644295540692198,01/13/20 - 01/19/20
AE,01097002800,4,-88.11447894979065,30.682577125421755,01/13/20 - 01/19/20
MX,01097002800,4,-88.11447894979065,30.682577125421755,01/13/20 - 01/19/20
VN,01097002800,4,-88.11447894979065,30.682577125421755,01/13/20 - 01/19/20
AE,01097003302,16,-88.1361999124679,30.698631739398213,01/13/20 - 01/19/20
JO,01097003302,4,-88.1361999124679,30.698631739398213,01/13/20 - 01/19/20
AE,01097003606,4,-88.18063100152328,30.682773123342507,01/13/20 - 01/19/20
AE,04007000400,4,-111.24562447751387,34.292094614618996,01/13/20 - 01/19/20
GT,04007000400,4,-111.24562447751387,34.292094614618996,01/13/20 - 01/19/20
AE,04013071511,4,-112.20991140349668,33.631191781815374,01/13/20 - 01/19/20
MX,04013071511,4,-112.20991140349668,33.631191781815374,01/13/20 - 01/19/20
AE,04013318700,16,-111.93491785144474,33.42873538043791,01/13/20 - 01/19/20
BR,04013318700,4,-111.93491785144474,33.42873538043791,01/13/20 - 01/19/20
CA,04013318700,27,-111.93491785144474,33.42873538043791,01/13/20 - 01/19/20
MX,04013318700,8,-111.93491785144474,33.42873538043791,01/13/20 - 01/19/20
NG,04013318700,4,-111.93491785144474,33.42873538043791,01/13/20 - 01/19/20
AE,04013319000,28,-111.93491811225984,33.41471037890468,01/13/20 - 01/19/20
AU,04013319000,16,-111.93491811225984,33.41471037890468,01/13/20 - 01/19/20
JO,04013319000,4,-111.93491811225984,33.41471037890468,01/13/20 - 01/19/20
MX,04013319000,30,-111.93491811225984,33.41471037890468,01/13/20 - 01/19/20
QA,04013319000,4,-111.93491811225984,33.41471037890468,01/13/20 - 01/19/20
AE,04013617700,5,-112.22884335480447,33.64542075071129,01/13/20 - 01/19/20
CA,04013617700,8,-112.22884335480447,33.64542075071129,01/13/20 - 01/19/20
MX,04013617700,11,-112.22884335480447,33.64542075071129,01/13/20 - 01/19/20
AE,06001422600,4,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
BR,06001422600,4,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
MX,06001422600,8,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
PE,06001422600,21,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
PH,06001422600,8,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
SA,06001422600,4,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
SG,06001422600,4,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
TH,06001422600,8,-122.25462676859728,37.87377236040671,01/13/20 - 01/19/20
AE,06001422800,4,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
KR,06001422800,12,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
MX,06001422800,9,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
NZ,06001422800,4,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
PH,06001422800,4,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
RU,06001422800,4,-122.25997900547826,37.86678747256626,01/13/20 - 01/19/20
AE,06037106646,4,-118.49394482992994,34.27973795904748,01/13/20 - 01/19/20
AE,06037111100,4,-118.49506943708438,34.26830982725473,01/13/20 - 01/19/20
AE,06037111302,8,-118.51284251377885,34.253951011503005,01/13/20 - 01/19/20
PH,06037111302,4,-118.51284251377885,34.253951011503005,01/13/20 - 01/19/20
AE,06037117303,4,-118.49128132457447,34.22810982169198,01/13/20 - 01/19/20
AE,06037139504,4,-118.52025035238793,34.16701826677341,01/13/20 - 01/19/20
VN,06037139504,4,-118.52025035238793,34.16701826677341,01/13/20 - 01/19/20
AE,06037203300,4,-118.20628259036198,34.05975943648131,01/13/20 - 01/19/20
AR,06037203300,4,-118.20628259036198,34.05975943648131,01/13/20 - 01/19/20
PH,06037203300,16,-118.20628259036198,34.05975943648131,01/13/20 - 01/19/20
AE,06037222700,4,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
BR,06037222700,28,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
CN,06037222700,8,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
GH,06037222700,4,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
HN,06037222700,8,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
JP,06037222700,4,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
KR,06037222700,14,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
MX,06037222700,8,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
PA,06037222700,4,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
TW,06037222700,9,-118.28568097832537,34.02091969736446,01/13/20 - 01/19/20
AE,06037224600,6,-118.27180230251717,34.022298878560846,01/13/20 - 01/19/20
AE,06037276000,4,-118.38901970637751,33.96917854501269,01/13/20 - 01/19/20
AU,06037276000,8,-118.38901970637751,33.96917854501269,01/13/20 - 01/19/20
IN,06037276000,4,-118.38901970637751,33.96917854501269,01/13/20 - 01/19/20
LB,06037276000,4,-118.38901970637751,33.96917854501269,01/13/20 - 01/19/20
MX,06037276000,4,-118.38901970637751,33.96917854501269,01/13/20 - 01/19/20
AE,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
AR,06037701902,64,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
AU,06037701902,454,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
BR,06037701902,311,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
BS,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
CA,06037701902,113,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
CN,06037701902,17,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
CO,06037701902,12,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
CR,06037701902,20,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
EC,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
GT,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
ID,06037701902,12,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
IL,06037701902,32,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
JP,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
KR,06037701902,49,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
MX,06037701902,205,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
NZ,06037701902,42,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
PE,06037701902,4,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
PH,06037701902,13,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
RU,06037701902,18,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
SA,06037701902,8,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
TR,06037701902,14,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
TT,06037701902,8,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
TZ,06037701902,8,-118.49495242188272,34.0127684585911,01/13/20 - 01/19/20
AE,06037980028,12,-118.41352284444329,33.93985468418389,01/13/20 - 01/19/20
AM,06037980028,10,-118.41352284444329,33.93985468418389,01/13/20 - 01/19/20
AR,06037980028,153,-118.41352284444329,33.93985468418389,01/13/20 - 01/19/20
AU,06037980028,2434,-118.41352284444329,33.93985468418389,01/13/20 - 01/19/20
BB,06037980028,4,-118.41352284444329,33.93985468418389,01/13/20 - 01/19/20
