geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,01003010705,4,-87.93328592648626,30.641737247833266,02/10/20 - 02/16/20
CA,01003010705,4,-87.93328592648626,30.641737247833266,02/10/20 - 02/16/20
HN,01003010705,4,-87.93328592648626,30.641737247833266,02/10/20 - 02/16/20
AE,01097000200,7,-88.04802230486193,30.69111079136298,02/10/20 - 02/16/20
BR,01097000200,4,-88.04802230486193,30.69111079136298,02/10/20 - 02/16/20
CA,01097000200,4,-88.04802230486193,30.69111079136298,02/10/20 - 02/16/20
MX,01097000200,4,-88.04802230486193,30.69111079136298,02/10/20 - 02/16/20
PG,01097000200,4,-88.04802230486193,30.69111079136298,02/10/20 - 02/16/20
AE,01097003302,8,-88.1361999124679,30.698631739398213,02/10/20 - 02/16/20
BR,01097003302,4,-88.1361999124679,30.698631739398213,02/10/20 - 02/16/20
AE,01097003710,4,-88.1648240915447,30.632604322841203,02/10/20 - 02/16/20
AE,04013319000,8,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
CA,04013319000,12,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
IN,04013319000,16,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
JO,04013319000,4,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
MX,04013319000,33,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
TW,04013319000,4,-111.93491811225984,33.41471037890468,02/10/20 - 02/16/20
AE,06001422400,4,-122.26958781550056,37.87523963619793,02/10/20 - 02/16/20
CA,06001422400,4,-122.26958781550056,37.87523963619793,02/10/20 - 02/16/20
CN,06001422400,6,-122.26958781550056,37.87523963619793,02/10/20 - 02/16/20
TR,06001422400,4,-122.26958781550056,37.87523963619793,02/10/20 - 02/16/20
VN,06001422400,4,-122.26958781550056,37.87523963619793,02/10/20 - 02/16/20
AE,06001422600,8,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
BO,06001422600,4,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
BR,06001422600,21,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
CA,06001422600,25,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
CN,06001422600,78,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
CO,06001422600,4,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
EG,06001422600,4,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
ID,06001422600,24,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
IN,06001422600,4,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
JP,06001422600,9,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
KR,06001422600,61,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
MX,06001422600,41,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
PE,06001422600,16,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
PH,06001422600,69,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
SG,06001422600,5,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
TH,06001422600,20,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
TR,06001422600,12,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
TW,06001422600,31,-122.25462676859728,37.87377236040671,02/10/20 - 02/16/20
AE,06001423700,4,-122.24900929183005,37.86182841305957,02/10/20 - 02/16/20
ID,06001423700,4,-122.24900929183005,37.86182841305957,02/10/20 - 02/16/20
JP,06001423700,4,-122.24900929183005,37.86182841305957,02/10/20 - 02/16/20
PH,06001423700,4,-122.24900929183005,37.86182841305957,02/10/20 - 02/16/20
VN,06001423700,4,-122.24900929183005,37.86182841305957,02/10/20 - 02/16/20
AE,06001441923,22,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
BD,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
BR,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
CA,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
KW,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
MX,06001441923,8,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
PH,06001441923,28,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
RU,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
SA,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
TZ,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
UA,06001441923,4,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
VN,06001441923,14,-121.98500843164008,37.55097324553441,02/10/20 - 02/16/20
AE,06001441927,4,-121.97657700831222,37.54650212038848,02/10/20 - 02/16/20
AE,06001444400,4,-122.0353376497994,37.536231565750796,02/10/20 - 02/16/20
AE,06001450502,4,-121.96780306405314,37.710180587421114,02/10/20 - 02/16/20
AE,06001450743,4,-121.89239009740363,37.69312079988601,02/10/20 - 02/16/20
CA,06001450743,13,-121.89239009740363,37.69312079988601,02/10/20 - 02/16/20
CN,06001450743,4,-121.89239009740363,37.69312079988601,02/10/20 - 02/16/20
MX,06001450743,4,-121.89239009740363,37.69312079988601,02/10/20 - 02/16/20
PK,06001450743,4,-121.89239009740363,37.69312079988601,02/10/20 - 02/16/20
AE,06029003306,4,-119.15065142682094,34.93816967679133,02/10/20 - 02/16/20
ID,06029003306,9,-119.15065142682094,34.93816967679133,02/10/20 - 02/16/20
MX,06029003306,8,-119.15065142682094,34.93816967679133,02/10/20 - 02/16/20
PE,06029003306,4,-119.15065142682094,34.93816967679133,02/10/20 - 02/16/20
PH,06029003306,4,-119.15065142682094,34.93816967679133,02/10/20 - 02/16/20
AE,06037127300,4,-118.46976569365125,34.20839904424315,02/10/20 - 02/16/20
AR,06037127300,4,-118.46976569365125,34.20839904424315,02/10/20 - 02/16/20
AE,06037143700,4,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
AR,06037143700,8,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
AU,06037143700,12,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
BD,06037143700,4,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
BR,06037143700,8,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
CA,06037143700,12,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
KR,06037143700,28,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
KZ,06037143700,4,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
LB,06037143700,4,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
MX,06037143700,17,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
TH,06037143700,8,-118.3567739613666,34.12918532998784,02/10/20 - 02/16/20
AE,06037190700,4,-118.33367218575826,34.098662629002916,02/10/20 - 02/16/20
AM,06037190700,8,-118.33367218575826,34.098662629002916,02/10/20 - 02/16/20
AU,06037190700,29,-118.33367218575826,34.098662629002916,02/10/20 - 02/16/20
