geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
NZ,06037980028,26,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
PH,06037980028,12,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
SA,06037980028,4,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
SG,06037980028,14,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
TW,06037980028,8,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
AF,06059042112,4,-117.61625807943861,33.45731087302077,05/25/20 - 05/31/20
MX,06059042112,8,-117.61625807943861,33.45731087302077,05/25/20 - 05/31/20
AF,06059062610,4,-117.86038925026537,33.66920428051035,05/25/20 - 05/31/20
EG,06059062610,8,-117.86038925026537,33.66920428051035,05/25/20 - 05/31/20
AF,06067007019,5,-121.49401418855456,38.64583003145373,05/25/20 - 05/31/20
MX,06067007019,4,-121.49401418855456,38.64583003145373,05/25/20 - 05/31/20
AF,06073017811,4,-117.30814605664303,33.114365471047634,05/25/20 - 05/31/20
AF,12057011607,4,-82.6008272772647,28.03465646351058,05/25/20 - 05/31/20
AF,12091023200,4,-86.65626016801815,30.39482255571432,05/25/20 - 05/31/20
HN,12091023200,12,-86.65626016801815,30.39482255571432,05/25/20 - 05/31/20
MX,12091023200,4,-86.65626016801815,30.39482255571432,05/25/20 - 05/31/20
AF,12113010814,4,-87.06047161205818,30.39408623538014,05/25/20 - 05/31/20
AF,22051025102,4,-90.03890149517069,29.883567595471845,05/25/20 - 05/31/20
AF,23019000700,17,-68.81586993221866,44.79830200368034,05/25/20 - 05/31/20
KW,23019000700,4,-68.81586993221866,44.79830200368034,05/25/20 - 05/31/20
AF,24017851002,4,-76.95436996790028,38.53710773607851,05/25/20 - 05/31/20
AF,34039039800,4,-74.16933645566806,40.6686755389858,05/25/20 - 05/31/20
BR,34039039800,4,-74.16933645566806,40.6686755389858,05/25/20 - 05/31/20
CA,34039039800,5,-74.16933645566806,40.6686755389858,05/25/20 - 05/31/20
CR,34039039800,4,-74.16933645566806,40.6686755389858,05/25/20 - 05/31/20
DZ,34039039800,8,-74.16933645566806,40.6686755389858,05/25/20 - 05/31/20
