geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,05/11/20 - 05/17/20,2756482,35024228.0
01,02,-86.8445209956579,32.75687994183124,-151.25054883603903,63.78846947897309,05/11/20 - 05/17/20,21,266.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390919,34.29309519459155,05/11/20 - 05/17/20,806,10241.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174833,34.899772417519095,05/11/20 - 05/17/20,1757,22324.0
01,06,-86.8445209956579,32.75687994183124,-119.66384588674073,37.21530826027425,05/11/20 - 05/17/20,1313,16683.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,05/11/20 - 05/17/20,720,9148.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,05/11/20 - 05/17/20,161,2045.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811382,38.99497528640482,05/11/20 - 05/17/20,48,609.0
01,11,-86.8445209956579,32.75687994183124,-77.01629090354399,38.90477388790603,05/11/20 - 05/17/20,65,825.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,05/11/20 - 05/17/20,77026,978702.0
01,13,-86.8445209956579,32.75687994183124,-83.427140213775,32.63861711465599,05/11/20 - 05/17/20,61534,781859.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068473,20.995111199008754,05/11/20 - 05/17/20,34,432.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,05/11/20 - 05/17/20,112,1423.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,05/11/20 - 05/17/20,1838,23353.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774626,39.919869617317666,05/11/20 - 05/17/20,1815,23061.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,05/11/20 - 05/17/20,473,6010.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,05/11/20 - 05/17/20,581,7382.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,05/11/20 - 05/17/20,2389,30354.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,05/11/20 - 05/17/20,4322,54915.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,05/11/20 - 05/17/20,68,864.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070266,38.946493962582316,05/11/20 - 05/17/20,422,5361.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,05/11/20 - 05/17/20,197,2503.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151435,44.874773603554026,05/11/20 - 05/17/20,783,9948.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,05/11/20 - 05/17/20,252,3201.0
01,28,-86.8445209956579,32.75687994183124,-89.65335940964671,32.71289227326224,05/11/20 - 05/17/20,27420,348402.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,05/11/20 - 05/17/20,1826,23201.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,05/11/20 - 05/17/20,242,3074.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,05/11/20 - 05/17/20,357,4536.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,05/11/20 - 05/17/20,256,3252.0
01,33,-86.8445209956579,32.75687994183124,-71.5712431674564,43.68023706030347,05/11/20 - 05/17/20,86,1092.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,05/11/20 - 05/17/20,330,4193.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,05/11/20 - 05/17/20,541,6874.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,05/11/20 - 05/17/20,690,8767.0
01,37,-86.8445209956579,32.75687994183124,-79.1309089183765,35.52603039243224,05/11/20 - 05/17/20,2971,37749.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,05/11/20 - 05/17/20,83,1054.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691634,40.415486910016305,05/11/20 - 05/17/20,1680,21346.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037415,35.58346465252368,05/11/20 - 05/17/20,1087,13811.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,05/11/20 - 05/17/20,208,2642.0
01,42,-86.8445209956579,32.75687994183124,-77.8389380062834,40.896700506451666,05/11/20 - 05/17/20,923,11727.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,05/11/20 - 05/17/20,4,50.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,05/11/20 - 05/17/20,2895,36784.0
01,46,-86.8445209956579,32.75687994183124,-100.20335360994393,44.446642078499394,05/11/20 - 05/17/20,153,1944.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023672,35.8429801436099,05/11/20 - 05/17/20,29300,372289.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,05/11/20 - 05/17/20,6890,87545.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489538,39.32376871301901,05/11/20 - 05/17/20,278,3532.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,05/11/20 - 05/17/20,16,203.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,05/11/20 - 05/17/20,1695,21536.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,05/11/20 - 05/17/20,339,4307.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717371,38.64256709677464,05/11/20 - 05/17/20,475,6035.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,05/11/20 - 05/17/20,652,8284.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018234,42.999537462536004,05/11/20 - 05/17/20,226,2871.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,05/11/20 - 05/17/20,28,355.0
02,01,-151.25054883603903,63.78846947897309,-86.8445209956579,32.75687994183124,05/11/20 - 05/17/20,79,2596.0
02,02,-151.25054883603903,63.78846947897309,-151.25054883603903,63.78846947897309,05/11/20 - 05/17/20,113891,3742637.0
02,04,-151.25054883603903,63.78846947897309,-111.6644603390919,34.29309519459155,05/11/20 - 05/17/20,204,6703.0
02,05,-151.25054883603903,63.78846947897309,-92.43923686174833,34.899772417519095,05/11/20 - 05/17/20,20,657.0
02,06,-151.25054883603903,63.78846947897309,-119.66384588674073,37.21530826027425,05/11/20 - 05/17/20,126,4140.0
02,08,-151.25054883603903,63.78846947897309,-105.5478211203382,38.99853159698931,05/11/20 - 05/17/20,107,3516.0
02,09,-151.25054883603903,63.78846947897309,-72.73825767764087,41.575164149895755,05/11/20 - 05/17/20,8,262.0
02,10,-151.25054883603903,63.78846947897309,-75.45249262811382,38.99497528640482,05/11/20 - 05/17/20,4,131.0
02,11,-151.25054883603903,63.78846947897309,-77.01629090354399,38.90477388790603,05/11/20 - 05/17/20,4,131.0
02,12,-151.25054883603903,63.78846947897309,-82.46641838867941,28.477058414990193,05/11/20 - 05/17/20,79,2596.0
02,13,-151.25054883603903,63.78846947897309,-83.427140213775,32.63861711465599,05/11/20 - 05/17/20,40,1314.0
02,15,-151.25054883603903,63.78846947897309,-158.1099738068473,20.995111199008754,05/11/20 - 05/17/20,60,1971.0
02,16,-151.25054883603903,63.78846947897309,-114.6594139607683,44.389055086057056,05/11/20 - 05/17/20,189,6210.0
02,17,-151.25054883603903,63.78846947897309,-89.14863899339443,40.124200826969364,05/11/20 - 05/17/20,61,2004.0
02,18,-151.25054883603903,63.78846947897309,-86.28183838774626,39.919869617317666,05/11/20 - 05/17/20,28,920.0
02,19,-151.25054883603903,63.78846947897309,-93.50009011569544,42.07464832674591,05/11/20 - 05/17/20,10,328.0
02,20,-151.25054883603903,63.78846947897309,-98.38015540415404,38.484727072453566,05/11/20 - 05/17/20,12,394.0
02,21,-151.25054883603903,63.78846947897309,-85.29055223275348,37.5266141736611,05/11/20 - 05/17/20,32,1051.0
02,22,-151.25054883603903,63.78846947897309,-91.81423318426776,30.909072897746587,05/11/20 - 05/17/20,57,1873.0
02,26,-151.25054883603903,63.78846947897309,-85.73095291151435,44.874773603554026,05/11/20 - 05/17/20,12,394.0
02,27,-151.25054883603903,63.78846947897309,-94.19830560457335,46.3491103788664,05/11/20 - 05/17/20,32,1051.0
02,28,-151.25054883603903,63.78846947897309,-89.65335940964671,32.71289227326224,05/11/20 - 05/17/20,20,657.0
02,29,-151.25054883603903,63.78846947897309,-92.4774251950813,38.3676304410753,05/11/20 - 05/17/20,16,525.0
02,30,-151.25054883603903,63.78846947897309,-109.64520698796639,47.03342111039991,05/11/20 - 05/17/20,84,2760.0
02,31,-151.25054883603903,63.78846947897309,-99.81085586033895,41.527151125231704,05/11/20 - 05/17/20,33,1084.0
02,32,-151.25054883603903,63.78846947897309,-116.65524866805762,39.356185873030874,05/11/20 - 05/17/20,113,3713.0
02,34,-151.25054883603903,63.78846947897309,-74.65561230865505,40.11017985292258,05/11/20 - 05/17/20,4,131.0
02,35,-151.25054883603903,63.78846947897309,-106.1084438818861,34.42130099474041,05/11/20 - 05/17/20,4,131.0
02,36,-151.25054883603903,63.78846947897309,-75.59654322164518,42.92123354806042,05/11/20 - 05/17/20,22,722.0
02,37,-151.25054883603903,63.78846947897309,-79.1309089183765,35.52603039243224,05/11/20 - 05/17/20,70,2300.0
02,38,-151.25054883603903,63.78846947897309,-100.4693907950372,47.446310421753914,05/11/20 - 05/17/20,16,525.0
02,39,-151.25054883603903,63.78846947897309,-82.70937700691634,40.415486910016305,05/11/20 - 05/17/20,20,657.0
02,40,-151.25054883603903,63.78846947897309,-97.50822793037415,35.58346465252368,05/11/20 - 05/17/20,128,4206.0
