geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,03/09/20 - 03/15/20,3632980,38731998.0
01,02,-86.8445209956579,32.75687994183124,-151.25054883603903,63.78846947897309,03/09/20 - 03/15/20,48,511.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390919,34.29309519459155,03/09/20 - 03/15/20,1882,20064.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174833,34.899772417519095,03/09/20 - 03/15/20,2028,21620.0
01,06,-86.8445209956579,32.75687994183124,-119.66384588674073,37.21530826027425,03/09/20 - 03/15/20,3625,38646.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,03/09/20 - 03/15/20,3078,32815.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,03/09/20 - 03/15/20,156,1663.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811382,38.99497528640482,03/09/20 - 03/15/20,129,1375.0
01,11,-86.8445209956579,32.75687994183124,-77.01629090354399,38.90477388790603,03/09/20 - 03/15/20,1492,15906.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,03/09/20 - 03/15/20,78873,840882.0
01,13,-86.8445209956579,32.75687994183124,-83.427140213775,32.63861711465599,03/09/20 - 03/15/20,85046,906694.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068473,20.995111199008754,03/09/20 - 03/15/20,828,8827.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,03/09/20 - 03/15/20,117,1247.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,03/09/20 - 03/15/20,3567,38028.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774626,39.919869617317666,03/09/20 - 03/15/20,2249,23977.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,03/09/20 - 03/15/20,559,5959.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,03/09/20 - 03/15/20,551,5874.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,03/09/20 - 03/15/20,3569,38049.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,03/09/20 - 03/15/20,9968,106271.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,03/09/20 - 03/15/20,85,906.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070266,38.946493962582316,03/09/20 - 03/15/20,778,8294.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,03/09/20 - 03/15/20,550,5863.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151435,44.874773603554026,03/09/20 - 03/15/20,1132,12068.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,03/09/20 - 03/15/20,577,6151.0
