geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,01/04/21 - 01/10/21,3070885,37761674.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,01/04/21 - 01/10/21,92,1131.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,01/04/21 - 01/10/21,1362,16748.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,01/04/21 - 01/10/21,2166,26634.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,01/04/21 - 01/10/21,1705,20965.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,01/04/21 - 01/10/21,3341,41083.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,01/04/21 - 01/10/21,200,2459.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,01/04/21 - 01/10/21,86,1057.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,01/04/21 - 01/10/21,362,4451.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,01/04/21 - 01/10/21,46547,572373.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,01/04/21 - 01/10/21,74325,913950.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,01/04/21 - 01/10/21,268,3295.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,01/04/21 - 01/10/21,215,2643.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,01/04/21 - 01/10/21,1991,24482.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,01/04/21 - 01/10/21,1491,18334.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,01/04/21 - 01/10/21,406,4992.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,01/04/21 - 01/10/21,481,5914.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,01/04/21 - 01/10/21,2654,32635.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,01/04/21 - 01/10/21,5635,69291.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,01/04/21 - 01/10/21,103,1266.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,01/04/21 - 01/10/21,585,7193.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,01/04/21 - 01/10/21,202,2483.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,01/04/21 - 01/10/21,746,9173.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,01/04/21 - 01/10/21,244,3000.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,01/04/21 - 01/10/21,36467,448422.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,01/04/21 - 01/10/21,1742,21420.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,01/04/21 - 01/10/21,366,4500.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,01/04/21 - 01/10/21,196,2410.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,01/04/21 - 01/10/21,1824,22429.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,01/04/21 - 01/10/21,49,602.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,01/04/21 - 01/10/21,440,5410.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,01/04/21 - 01/10/21,507,6234.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,01/04/21 - 01/10/21,644,7919.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,01/04/21 - 01/10/21,4066,49998.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,01/04/21 - 01/10/21,29,356.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,01/04/21 - 01/10/21,1755,21580.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,01/04/21 - 01/10/21,1081,13292.0
