geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,06001,4,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
BR,06001,4,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
CA,06001,16,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
CN,06001,4,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
CO,06001,14,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
MX,06001,39,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
PH,06001,6,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
RU,06001,8,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
TR,06001,4,-121.91788544949588,37.650546842122445,03/23/20 - 03/29/20
AE,06037,16,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
AR,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
AU,06037,175,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
BN,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
BO,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
BR,06037,53,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
BS,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
CA,06037,275,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
CM,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
CN,06037,12,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
CO,06037,18,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
CR,06037,36,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
DO,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
EC,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
EG,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
GH,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
GT,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
GY,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
ID,06037,52,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
IL,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
IN,06037,20,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
IR,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
JP,06037,71,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
KR,06037,95,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
KW,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
LB,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
MX,06037,619,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
MY,06037,16,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
NG,06037,34,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
NP,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
NZ,06037,33,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
PH,06037,42,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
PK,06037,12,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
RU,06037,74,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
SA,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
SG,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
TH,06037,4,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
TR,06037,8,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
TW,06037,12,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
TZ,06037,20,-118.26101696970831,34.19800147820897,03/23/20 - 03/29/20
AE,06073,8,-116.77020744456195,33.028203198952994,03/23/20 - 03/29/20
AR,06073,4,-116.77020744456195,33.028203198952994,03/23/20 - 03/29/20
AU,06073,8,-116.77020744456195,33.028203198952994,03/23/20 - 03/29/20
CA,06073,24,-116.77020744456195,33.028203198952994,03/23/20 - 03/29/20
