geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
EC,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
EG,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
ET,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
GH,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
GM,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
GT,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
HN,06,16,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
ID,06,77,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
IL,06,52,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
IN,06,52,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
IQ,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
IR,06,41,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
JO,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
JP,06,141,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
KR,06,44,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
KW,06,20,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
LB,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
LK,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
MH,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
MX,06,21313,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
MY,06,50,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
NG,06,267,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
NZ,06,50,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
PE,06,28,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
PH,06,157,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
PK,06,20,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
QA,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
RU,06,41,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
SA,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
SG,06,73,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
TH,06,49,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
TT,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
TW,06,32,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
UA,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
VN,06,74,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
ZA,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
AE,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
AF,12,69,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
AG,12,16,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
AR,12,161,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
AU,12,28,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BB,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BD,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BO,12,20,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BR,12,377,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BS,12,72,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
BZ,12,8,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CA,12,475,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CL,12,30,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CN,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CO,12,274,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CR,12,12,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
CU,12,35,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
DO,12,69,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
EC,12,111,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
ET,12,12,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
GD,12,15,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
GH,12,8,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
GY,12,17,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
HN,12,12,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
HT,12,20,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
ID,12,16,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
IL,12,25,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
JM,12,32,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
JP,12,104,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
LB,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
LR,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
MX,12,566,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
MY,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
NG,12,80,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
NI,12,8,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
NZ,12,12,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
PA,12,24,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
PE,12,51,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
PG,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
PH,12,20,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
PY,12,31,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
QA,12,16,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
RU,12,34,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
SA,12,21,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
SG,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
SO,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
TH,12,20,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
TR,12,15,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
TT,12,8,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
UA,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
UG,12,8,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
UY,12,4,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
VE,12,13,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
VN,12,28,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
ZA,12,65,-82.46641838867941,28.477058414990193,06/01/20 - 06/07/20
