orig_country,dest_state,visitor_flows,state_lng,state_lat,date_range
AE,01,7,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
AF,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
AR,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
AU,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
BR,01,25,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
BZ,01,28,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
CA,01,140,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
CN,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
CO,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
CR,01,57,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
DO,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
EC,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
GE,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
HT,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
ID,01,6,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
JO,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
JP,01,40,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
KR,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
KW,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
MX,01,411,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
NG,01,20,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
NI,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
NZ,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
PA,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
PH,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
RU,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
SG,01,25,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
TH,01,12,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
TR,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
TW,01,8,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
VN,01,20,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
ZA,01,4,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20
AE,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
AR,04,87,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
AU,04,274,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
BB,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
BD,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
BR,04,147,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
BY,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
BZ,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
CA,04,2455,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
CL,04,21,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
CN,04,12,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
CO,04,26,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
CR,04,54,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
DO,04,26,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
DZ,04,32,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
EC,04,24,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
EG,04,25,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
GE,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
GT,04,37,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
HT,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
ID,04,69,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
IL,04,77,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
IN,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
IR,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
JM,04,16,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
JO,04,32,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
JP,04,67,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KE,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KG,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KH,04,16,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KR,04,133,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KW,04,64,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
KZ,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
MD,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
MM,04,25,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
MR,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
MX,04,10138,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
MY,04,40,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
NG,04,24,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
NI,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
NZ,04,33,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
PA,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
PE,04,57,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
PH,04,28,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
PK,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
PS,04,12,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
RS,04,12,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
RU,04,28,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
SA,04,25,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
SG,04,28,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
SO,04,8,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
SV,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
TH,04,28,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
TO,04,24,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
TR,04,24,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
TW,04,20,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
UA,04,4,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
VN,04,38,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
ZA,04,37,-111.6644603390921,34.29309519459149,01/06/20 - 01/12/20
AE,06,209,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AF,06,33,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AG,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AL,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AM,06,84,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AO,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AR,06,1564,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
AU,06,11796,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BB,06,92,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BD,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BN,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BO,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BR,06,6932,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BS,06,20,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BT,06,12,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BY,06,36,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
BZ,06,16,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CA,06,8545,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CK,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CL,06,138,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CM,06,11,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CN,06,1439,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CO,06,669,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CR,06,454,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
CU,06,14,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
DJ,06,16,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
DM,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
DO,06,235,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
DZ,06,20,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
EC,06,118,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
EG,06,165,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
ET,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
FJ,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
GE,06,12,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
GH,06,41,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
GT,06,249,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
HN,06,167,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
ID,06,1799,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
IL,06,1087,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
IN,06,419,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
IQ,06,48,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
IR,06,104,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
JM,06,12,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
JO,06,85,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
JP,06,1402,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KE,06,40,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KG,06,12,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KH,06,24,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KN,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KR,06,2100,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KW,06,52,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
KZ,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
LA,06,20,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
LB,06,107,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MA,06,32,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MD,06,36,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MH,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MK,06,24,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MM,06,8,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MN,06,21,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MU,06,5,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
MV,06,4,-119.6638458867405,37.21530826027419,01/06/20 - 01/12/20
